iter	Passed	Remaining
0	0	58
1	1	57
2	1	54
3	2	49
4	2	49
5	3	49
6	3	48
7	4	47
8	4	46
9	5	45
10	5	44
11	5	43
12	6	42
13	6	42
14	7	42
15	7	41
16	8	40
17	8	40
18	9	39
19	9	39
20	10	38
21	10	38
22	11	37
23	11	37
24	12	36
25	12	35
26	13	35
27	13	34
28	13	34
29	14	33
30	14	33
31	15	32
32	15	32
33	16	31
34	16	30
35	17	30
36	17	30
37	18	29
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	20	25
45	21	25
46	22	24
47	22	24
48	23	24
49	23	23
50	23	23
51	24	22
52	24	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	27	18
60	28	18
61	29	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	13
70	33	13
71	33	13
72	33	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	38	7
83	39	7
84	39	7
85	40	6
86	40	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	43	2
94	44	2
95	44	1
96	45	1
97	45	0
98	46	0
99	46	0
